"fcltynm","mt10id","mt13cnt","fcltychartr","sidonm","gugunnm","opende"
"1m클래식아트홀","FC001419","1","민간(대학로)","서울","종로구","2008"
"30스튜디오 (폐관)","FC001562","1","민간(대학로)","서울","종로구","2016"
"57th gallery(57갤러리)","FC002702","1","기타(비공연장)","서울","종로구"," "
"CJ아지트 대학로 (구. SM아트홀)","FC000098","1","민간(대학로)","서울","종로구","2016"
"Cafe PPnF","FC002066","1","기타(비공연장)","서울","종로구","2018"
"D:BASE (디:베이스)","FC002014","1","민간(대학로)","서울","종로구","2015"
"DS ART HALL(창선당)","FC002003","1","민간(대학로 외)","서울","종로구","2014"
"JCC 아트센터","FC001575","4","민간(대학로)","서울","종로구","2015"
"JCC크리에이티브센터","FC003368","1","민간(대학로 외)","서울","종로구"," "
"JH아트홀","FC001073","1","민간(대학로)","서울","종로구","2012"
"JS아트홀 (구. 고스트씨어터 구.다소니씨어터)","FC001859","1","민간(대학로)","서울","종로구","2018"
"JTN 아트홀(구. 대학로예술마당)","FC000139","4","민간(대학로)","서울","종로구","2016"
"KOTE(코트)","FC002685","1","민간(대학로 외)","서울","종로구"," "
"M Stage(엠스테이지)","FC001585","2","민간(대학로 외)","서울","종로구"," "
"R&J씨어터(구. 연진아트홀)","FC001142","1","민간(대학로)","서울","종로구","2006"
"SH아트홀","FC001384","1","민간(대학로)","서울","종로구","2011"
"SJA HALL","FC001461","1","민간(대학로)","서울","종로구","2013"
"VERY(베리컴퍼니)","FC001845","2","민간(대학로)","서울","종로구"," "
"가나의집열림홀","FC000353","1","민간(대학로 외)","서울","종로구","2005"
"갤러리롤랑","FC002360","1","기타(비공연장)","서울","종로구","2012"
"갤러리춘추","FC002413","1","기타(비공연장)","서울","종로구"," "
"게릴라극장 (폐관)","FC000163","1","민간(대학로)","서울","종로구","2006"
"경복궁","FC002710","1","기타(비공연장)","서울","종로구"," "
"경복궁아트홀","FC000194","1","민간(대학로 외)","서울","종로구","2012"
"고려사이버대학교","FC002022","1","기타(비공연장)","서울","종로구","2001"
"공간아울","FC001209","1","민간(대학로)","서울","종로구","2010"
"공공그라운드","FC002465","1","민간(대학로)","서울","종로구","2017"
"광화문광장","FC002271","3","기타(비공연장)","서울","종로구"," "
"광화문아트홀","FC001177","1","공공(문예회관)","서울","종로구","2008"
"구 사춤전용관(낙원상가) (폐관)","FC001152","1","민간(대학로 외)","서울","종로구","2004"
"국민대학교 제로원디자인센터","FC002469","1","민간(대학로)","서울","종로구","2004"
"굿씨어터","FC001240","1","민간(대학로)","서울","종로구","2004"
"극장 동국","FC001226","1","민간(대학로)","서울","종로구","2014"
"글루호텔 블루레인라운지","FC003178","1","민간(대학로)","서울","종로구"," "
"금호아트홀 (폐관)","FC000391","2","민간(대학로 외)","서울","종로구","2000"
"김동수플레이하우스 (폐관)","FC000177","1","민간(대학로)","서울","종로구","2000"
"나온씨어터","FC000180","1","민간(대학로)","서울","종로구","2008"
"낙원상가 페인터즈 전용관 (폐관)","FC001324","1","민간(대학로 외)","서울","종로구","2008"
"남서울대학교 아트센터 갤러리 이앙","FC001842","1","기타(비공연장)","서울","종로구","2008"
"낭만극장","FC001342","1","민간(대학로 외)","서울","종로구","2009"
"내유외강씨어터(구. 익스트림씨어터 1관)","FC001095","1","민간(대학로)","서울","종로구","2012"
"노들장애인야학","FC001673","1","민간(대학로)","서울","종로구","1994"
"노무현시민센터","FC003237","1","민간(대학로 외)","서울","종로구"," "
"노을소극장","FC001274","1","민간(대학로)","서울","종로구","2011"
"달밤엔씨어터","FC001884","1","민간(대학로)","서울","종로구","2014"
"달빛극장","FC001204","1","민간(대학로)","서울","종로구","2012"
"달식당 (Lunar Pub & Music)","FC002423","1","기타(비공연장)","서울","종로구"," "
"대학로 A아트홀(구. 신연아트홀)","FC001235","1","민간(대학로)","서울","종로구","2005"
"대학로 극장가게 (구. 문씨어터, 지구인씨어터)","FC001388","1","민간(대학로)","서울","종로구","2015"
"대학로 김대범소극장","FC001323","1","민간(대학로)","서울","종로구","2012"
"대학로 달달씨어터","FC001353","1","민간(대학로)","서울","종로구","2014"
"대학로 두레홀 3관","FC001440","1","민간(대학로)","서울","종로구","2006"
"대학로 두레홀 4관 (폐관)","FC001387","1","민간(대학로)","서울","종로구","2007"
"대학로 드림아트센터","FC001528","4","민간(대학로)","서울","종로구","2016"
"대학로 마로니에소극장(플레이더씨어터)","FC000769","1","민간(대학로)","서울","종로구","1987"
"대학로 뮤지컬센터","FC001213","3","민간(대학로)","서울","종로구","2013"
"대학로 스카이씨어터","FC001091","2","민간(대학로)","서울","종로구","2010"
"대학로 웃찾사 전용관 (폐관)","FC002610","1","민간(대학로)","서울","종로구"," "
"대학로 위로홀(구. 몬스터홀)","FC001229","1","민간(대학로)","서울","종로구","2014"
"대학로 이음센터","FC001404","2","공공(기타)","서울","종로구","2015"
"대학로 일대","FC003535","1","민간(대학로)","서울","종로구"," "
"대학로 자유극장 (자유문화발전소)","FC000785","1","민간(대학로)","서울","종로구","2005"
"대학로 판타스틱전용관","FC002229","1","민간(대학로)","서울","종로구"," "
"대학로극장 (폐관)","FC000494","1","민간(대학로)","서울","종로구","1987"
"대학로단막극장","FC000774","1","민간(대학로)","서울","종로구","1996"
"대학로스타시티","FC000389","6","민간(대학로)","서울","종로구","2007"
"대학로아트원씨어터","FC000833","3","민간(대학로)","서울","종로구","2009"
"대학로예술극장","FC002633","3","국립","서울","종로구","2009"
"댕로홀","FC001099","1","민간(대학로)","서울","종로구","2005"
"더 씨어터","FC001249","1","민간(대학로)","서울","종로구","2011"
"더숲 초소책방","FC003026","1","기타(비공연장)","서울","종로구"," "
"더초콜릿 전용관 (폐관)","FC001222","1","민간(대학로)","서울","종로구","2014"
"도토리씨어터","FC003374","2","민간(대학로)","서울","종로구"," "
"동덕여대공연예술센터","FC000528","1","민간(대학로)","서울","종로구","2001"
"동숭무대소극장","FC001203","1","민간(대학로)","서울","종로구","2002"
"동숭아트센터 (폐관)","FC000388","3","민간(대학로)","서울","종로구","1989"
"동양예술극장(구. 아트센터K)","FC001087","3","민간(대학로)","서울","종로구","2015"
"동화소극장","FC001275","1","민간(대학로)","서울","종로구","2015"
"두산아트센터","FC000402","3","민간(대학로 외)","서울","종로구","2007"
"두잇아카펠라 Abar","FC002174","1","민간(대학로)","서울","종로구","2002"
"드림시어터 [대학로]","FC001218","1","민간(대학로)","서울","종로구","2012"
"라온아트홀","FC002760","1","민간(대학로)","서울","종로구"," "
"라이브 썸데이즈홀 (구. 이수ENT)","FC000360","2","민간(대학로)","서울","종로구","2011"
"라이프 씨어터","FC001102","1","민간(대학로)","서울","종로구","2008"
"룸씨어터","FC003171","1","민간(대학로)","서울","종로구"," "
"룸어씨어터","FC002708","1","민간(대학로)","서울","종로구"," "
"링크아트센터","FC003244","2","민간(대학로)","서울","종로구","2022"
"마로니에공원","FC001923","2","기타(비공연장)","서울","종로구","1975"
"마루아트홀","FC001815","1","민간(대학로)","서울","종로구","2018"
"맛있는 극장","FC001105","1","민간(대학로)","서울","종로구","2010"
"명작극장 (구 아츠플레이씨어터)","FC001206","2","민간(대학로)","서울","종로구","2017"
"모두의극장","FC002631","1","민간(대학로 외)","서울","종로구"," "
"목인박물관","FC003148","1","기타(비공연장)","서울","종로구"," "
"무계원","FC001377","1","기타(비공연장)","서울","종로구","2014"
"문화공간 엘림홀","FC001260","1","민간(대학로)","서울","종로구","2007"
"뭐든지 소극장","FC002792","1","민간(대학로 외)","서울","종로구","2021"
"미마지아트센터","FC000227","3","민간(대학로)","서울","종로구","2008"
"민송아트홀 (구. 브로드웨이아트홀)","FC001682","2","민간(대학로)","서울","종로구","2017"
"바탕골소극장","FC001174","1","민간(대학로)","서울","종로구","1986"
"반쥴","FC002361","1","기타(비공연장)","서울","종로구"," "
"배우세상소극장 (폐관)","FC001499","1","민간(대학로 외)","서울","종로구","2006"
"복합공간 에무","FC001645","2","민간(대학로 외)","서울","종로구","2010"
"복합한옥공간 곳","FC002682","1","기타(비공연장)","서울","종로구"," "
"봄날아트홀(구. 아리랑소극장)","FC000453","2","민간(대학로)","서울","종로구","1996"
"부암아트홀","FC000738","1","민간(대학로 외)","서울","종로구","1995"
"북극곰소극장(구.아뮤스소극장)","FC001814","1","민간(대학로)","서울","종로구","2019"
"북촌나래홀","FC000558","1","민간(대학로 외)","서울","종로구","2010"
"북촌아트홀","FC000461","1","민간(대학로 외)","서울","종로구","2010"
"북촌창우극장","FC001066","1","민간(대학로 외)","서울","종로구","1993"
"브릭스씨어터 (구. 콘텐츠 그라운드 구. 브로드웨이아트홀 [3관])","FC001199","1","민간(대학로)","서울","종로구","2007"
"삼청로 146","FC002501","1","민간(대학로 외)","서울","종로구","2015"
"삼형제극장(환상극장)","FC001119","1","민간(대학로)","서울","종로구","2009"
"상명아트센터","FC001702","2","민간(대학로 외)","서울","종로구","2009"
"상명아트홀","FC000763","2","민간(대학로)","서울","종로구","2001"
"상상아트홀 블루관 (폐관)","FC000186","1","민간(대학로)","서울","종로구","2004"
"서경대학교 공연예술센터","FC001877","2","민간(대학로)","서울","종로구","2018"
"서연아트홀(구. 인아소극장)","FC001223","1","민간(대학로)","서울","종로구","2013"
"서완소극장(구. 씨어터고리)","FC001201","1","민간(대학로)","서울","종로구","2009"
"서울돈화문국악당","FC001441","1","공공(기타)","서울","종로구","2016"
"서울문화재단 대학로극장 쿼드(예술청)","FC003018","2","공공(문예회관)","서울","종로구","2022"
"서울아트센터","FC003417","1","민간(대학로 외)","서울","종로구","2023"
"선돌극장","FC000362","1","민간(대학로)","서울","종로구","2007"
"설치극장 정미소 (폐관)","FC001122","1","민간(대학로)","서울","종로구","2002"
"성균관대학교 새천년홀","FC001351","1","민간(대학로 외)","서울","종로구","1999"
"성균소극장","FC001262","2","민간(대학로)","서울","종로구","2006"
"세상에서제일작은한평극장","FC001574","1","민간(대학로 외)","서울","종로구","2012"
"세우아트센터","FC000794","2","민간(대학로)","서울","종로구","2002"
"세익스피어 극장 (폐관)","FC001090","1","민간(대학로)","서울","종로구","2008"
"세종문화회관","FC000020","8","공공(문예회관)","서울","종로구","1978"
"세종아트센터 (폐관)","FC001542","1","민간(대학로)","서울","종로구","2015"
"소극장 꿈꾸는 공작소","FC001211","1","민간(대학로)","서울","종로구","2011"
"소극장 다르게놀자","FC001127","1","민간(대학로)","서울","종로구","2007"
"소극장 무극","FC003149","1","민간(대학로)","서울","종로구"," "
"소극장 선물 1관","FC003462","1","민간(대학로)","서울","종로구"," "
"소극장 선물 2관","FC003537","1","민간(대학로)","서울","종로구"," "
"소극장 시월 (폐관)","FC001128","1","민간(대학로)","서울","종로구","2010"
"소극장 창덕궁","FC001215","1","민간(대학로 외)","서울","종로구","2008"
"소극장 천공의 성 (폐관)","FC001273","1","민간(대학로)","서울","종로구","2011"
"소극장 축제","FC000488","1","민간(대학로)","서울","종로구","2003"
"소극장 플랫폼74","FC002677","1","민간(대학로)","서울","종로구","2020"
"소극장 혜화당(구. 까망소극장)","FC001085","1","민간(대학로)","서울","종로구","1993"
"소극장공유(구. 키작은소나무극장)","FC001266","1","민간(대학로)","서울","종로구","2009"
"소리아트홀","FC000190","3","민간(대학로)","서울","종로구","2010"
"소울소극장","FC001293","1","민간(대학로)","서울","종로구","2009"
"순위아트홀1관 [대학로]","FC001228","1","민간(대학로)","서울","종로구","2014"
"스콘뮤직홀","FC002366","1","민간(대학로)","서울","종로구"," "
"스타스테이지","FC003274","1","민간(대학로)","서울","종로구","2022"
"스튜디오 낙원","FC003255","1","민간(대학로 외)","서울","종로구"," "
"스튜디오 다락","FC003031","1","민간(대학로 외)","서울","종로구"," "
"스튜디오 블루","FC002989","1","민간(대학로)","서울","종로구"," "
"스튜디오 하늘","FC003030","1","민간(대학로 외)","서울","종로구"," "
"스튜디오76(구 이랑씨어터)","FC001132","1","민간(대학로)","서울","종로구","2013"
"스튜디오SK","FC001537","1","민간(대학로)","서울","종로구","2013"
"스페이스 아이","FC001576","1","민간(대학로)","서울","종로구","2014"
"스페이스코르","FC002659","1","기타(비공연장)","서울","종로구"," "
"스페이스클라우드","FC003519","1","민간(대학로 외)","서울","종로구","2013"
"슬로우파크","FC002587","1","기타(비공연장)","서울","종로구"," "
"시네코아 사춤 전용관 (폐관)","FC001254","1","민간(대학로 외)","서울","종로구","2015"
"시네코아 쉐프 전용관(구. 시네코아 비밥 전용관)","FC000383","1","민간(대학로 외)","서울","종로구","2006"
"시대여관","FC002701","1","기타(비공연장)","서울","종로구"," "
"시온아트홀 (구. JK아트홀, 샘아트홀)","FC001298","1","민간(대학로)","서울","종로구","2017"
"신명나눔 공간 마루채","FC001458","1","민간(대학로)","서울","종로구","2003"
"쌀롱드무지끄","FC002062","1","민간(대학로 외)","서울","종로구","2019"
"씨어터 쿰","FC002588","1","민간(대학로)","서울","종로구"," "
"씨어터조이 (구. 마당세실극장)","FC000419","1","민간(대학로)","서울","종로구","1997"
"아라리오뮤지엄","FC001622","1","민간(대학로 외)","서울","종로구","2015"
"아루또소극장(구. 소담소극장, 구. 코메디컬센터)","FC001379","1","민간(대학로)","서울","종로구","2017"
"아르코예술극장","FC002632","5","국립","서울","종로구","2009"
"아름다운극장","FC001092","1","민간(대학로)","서울","종로구","2008"
"아스가르드 씨어터(구. 낙산씨어터)","FC002932","1","민간(대학로)","서울","종로구"," "
"아트라운지멋진하늘","FC001817","1","민간(대학로 외)","서울","종로구","2011"
"아트비프로젝트","FC003202","1","기타(비공연장)","서울","종로구"," "
"아트선재센터","FC001730","1","기타(비공연장)","서울","종로구","1998"
"아트씨어터 문(안톤체홉극장)","FC001137","1","민간(대학로)","서울","종로구","2007"
"아트포레스트 아트홀","FC001603","2","민간(대학로)","서울","종로구","2016"
"아트하우스","FC003224","1","민간(대학로)","서울","종로구"," "
"아티스탄홀","FC000372","1","민간(대학로)","서울","종로구","2003"
"알카드 스튜디오","FC002748","1","기타(비공연장)","서울","종로구","2020"
"업스테이지(UP Stage)","FC002072","1","민간(대학로)","서울","종로구"," "
"에이치씨어터","FC001804","1","민간(대학로)","서울","종로구","2012"
"엠스테이지(구.인사아트홀)","FC001535","1","민간(대학로 외)","서울","종로구","2017"
"여우별씨어터(구. 내여페 The Stage) (폐관)","FC001086","1","민간(대학로)","서울","종로구","2012"
"연극실험실 혜화동1번지","FC001141","1","민간(대학로)","서울","종로구","1993"
"연극플레이스 혜화","FC003098","1","민간(대학로)","서울","종로구"," "
"연동교회","FC003392","1","기타(비공연장)","서울","종로구"," "
"연우소극장","FC000526","1","민간(대학로)","서울","종로구","1987"
"열린극장","FC000516","1","민간(대학로)","서울","종로구","1999"
"예그린씨어터","FC001212","1","민간(대학로)","서울","종로구","2014"
"예술가의 집","FC002634","1","국립","서울","종로구","2010"
"예술공간 라푸푸","FC002523","1","민간(대학로)","서울","종로구","2012"
"예술공간 서울","FC001143","1","민간(대학로)","서울","종로구","2012"
"예술공간 오르다(구. 우석레파토리극장)","FC001144","1","민간(대학로)","서울","종로구","2002"
"예술공간 유비누리 앱질 전용관","FC001093","1","민간(대학로)","서울","종로구","2014"
"예술공간 혜화","FC001094","1","민간(대학로)","서울","종로구","2012"
"예술극장 나무와물","FC000773","1","민간(대학로)","서울","종로구","2003"
"예스24 스테이지(구. DCF대명문화공장)","FC001236","3","민간(대학로)","서울","종로구","2014"
"오디오가이스튜디오","FC001785","1","민간(대학로 외)","서울","종로구","2000"
"오마이갓 전용관","FC003396","1","민간(대학로)","서울","종로구","2023"
"오씨어터","FC001278","1","민간(대학로 외)","서울","종로구","2003"
"온라인","FC003320","1","기타(비공연장)","서울","종로구"," "
"올래홀","FC000736","1","민간(대학로)","서울","종로구","2005"
"옵신 스페이스(구. 서촌공간 서로)","FC001380","1","민간(대학로 외)","서울","종로구","2016"
"우리네 극장","FC001149","1","민간(대학로)","서울","종로구","2012"
"우리소극장 [대학로]","FC002820","1","민간(대학로)","서울","종로구"," "
"우리열린극장","FC002529","1","민간(대학로 외)","서울","종로구","2007"
"우미관극장(서울코미디클럽)","FC002910","1","민간(대학로 외)","서울","종로구"," "
"울림과 퍼짐","FC002825","1","민간(대학로 외)","서울","종로구"," "
"울씨어터(구. 미아트홀) (폐관)","FC002884","1","민간(대학로)","서울","종로구"," "
"원더러스트에이앤씨 (Wonderlust A&C)","FC002722","1","민간(대학로)","서울","종로구"," "
"원패스아트홀","FC001819","1","민간(대학로)","서울","종로구","2018"
"위워크 광화문","FC001866","1","민간(대학로 외)","서울","종로구","2018"
"윈씨어터(구. 대학로갈갈이홀)","FC000741","1","민간(대학로)","서울","종로구","2004"
"유니플렉스","FC001233","3","민간(대학로)","서울","종로구","2013"
"윤보선 고택","FC001639","1","기타(비공연장)","서울","종로구"," "
"이수스타홀","FC003337","1","민간(대학로)","서울","종로구"," "
"이수아트홀 [대학로] (폐관)","FC001707","1","민간(대학로)","서울","종로구","2013"
"익스트림씨어터 3관","FC001805","1","민간(대학로)","서울","종로구","2012"
"인디스페이스","FC002654","1","기타(비공연장)","서울","종로구"," "
"작은극장 광야(구. 대학로예술극장 3관) (폐관)","FC001807","1","민간(대학로)","서울","종로구","2017"
"전태일기념관","FC002752","1","공공(기타)","서울","종로구","2019"
"전통공연창작마루 광무대","FC003209","1","민간(대학로 외)","서울","종로구","2020"
"정극장 (구. M시어터, 구.하모니아트홀)","FC001172","1","민간(대학로)","서울","종로구","2012"
"정보소극장","FC000577","1","민간(대학로)","서울","종로구","1993"
"졸탄극장","FC002624","1","민간(대학로)","서울","종로구"," "
"종로구민회관","FC000422","1","공공(문예회관)","서울","종로구","2000"
"종로아이들극장","FC001435","1","공공(기타)","서울","종로구","2016"
"종로여가","FC003050","1","기타(비공연장)","서울","종로구"," "
"종로예술극장","FC001912","1","민간(대학로 외)","서울","종로구","2011"
"종로인사동일대","FC003524","1","민간(대학로)","서울","종로구"," "
"중앙대학교 공연예술원","FC000234","1","민간(대학로)","서울","종로구","2002"
"중앙성결교회","FC003412","1","기타(비공연장)","서울","종로구"," "
"지인시어터(구. 알과핵소극장)","FC000416","1","민간(대학로)","서울","종로구","1998"
"지즐소극장","FC001156","1","민간(대학로)","서울","종로구","2007"
"진건아트홀","FC001566","1","민간(대학로)","서울","종로구","2014"
"창덕궁","FC002872","1","국립","서울","종로구"," "
"창조소극장 (구. 민아트홀)","FC001636","1","민간(대학로)","서울","종로구","2018"
"청년극장 (구. 대학로 아트홀 1관 구. 서울문화예술대학교 대학로 극장)","FC001121","1","민간(대학로)","서울","종로구","2010"
"청운예술극장(구. 글로브극장)","FC000195","1","민간(대학로)","서울","종로구","2004"
"초록씨어터","FC002854","1","민간(대학로)","서울","종로구"," "
"최일화 스튜디오","FC001214","1","민간(대학로)","서울","종로구","2011"
"카비네","FC002441","1","기타(비공연장)","서울","종로구"," "
"카페 윙클","FC002440","1","기타(비공연장)","서울","종로구"," "
"카페극장 칸","FC001311","1","민간(대학로 외)","서울","종로구","2014"
"컬쳐씨어터(구. 휴먼시어터)","FC001207","1","민간(대학로)","서울","종로구","2016"
"코델아트홀","FC001414","1","민간(대학로)","서울","종로구","2016"
"콘텐츠박스(구. 르메이에르 씨어터)","FC000841","1","민간(대학로)","서울","종로구","2006"
"큐씨어터(구. 수상한흥신소전용관)","FC001539","1","민간(대학로)","서울","종로구","2016"
"타이니앨리스","FC002783","1","민간(대학로)","서울","종로구"," "
"탑아트홀","FC001457","1","민간(대학로)","서울","종로구","2003"
"통의동클래식","FC002283","1","민간(대학로 외)","서울","종로구","2019"
"티오엠씨어터(구. 문화공간필링)","FC000382","3","민간(대학로)","서울","종로구","2014"
"틴틴홀","FC000806","1","민간(대학로)","서울","종로구","2003"
"파랑새극장(구. 샘터파랑새극장)","FC000221","1","민간(대학로)","서울","종로구","1984"
"파랑씨어터 (구. 도향아트홀, 뮤디스홀)","FC000749","1","민간(대학로)","서울","종로구","2017"
"판시어터","FC002453","1","민간(대학로 외)","서울","종로구"," "
"페인터즈 히어로 종로전용관(서울극장)","FC001268","1","민간(대학로 외)","서울","종로구","2010"
"플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)","FC001459","1","민간(대학로)","서울","종로구","2010"
"피카소소극장","FC000825","1","민간(대학로)","서울","종로구","2008"
"하마씨어터(구. 가든씨어터)","FC001232","1","민간(대학로)","서울","종로구","1995"
"학전","FC000744","2","민간(대학로)","서울","종로구","1991"
"한국방송통신대학교","FC002394","2","민간(대학로)","서울","종로구"," "
"한국불교역사문화기념관","FC000237","1","민간(대학로 외)","서울","종로구","2005"
"한성아트홀(구. 인켈아트홀)","FC000152","2","민간(대학로)","서울","종로구","1990"
"한양레퍼토리씨어터","FC000188","1","민간(대학로)","서울","종로구","2003"
"한얼소극장","FC001176","1","민간(대학로)","서울","종로구","2002"
"한예극장","FC003249","1","민간(대학로)","서울","종로구"," "
"해바라기소극장(구. 훈아트홀)","FC001431","1","민간(대학로)","서울","종로구","2013"
"해오름 예술극장","FC001250","1","민간(대학로)","서울","종로구","2014"
"해피씨어터","FC001303","1","민간(대학로)","서울","종로구","2008"
"허수아비소극장","FC001862","1","민간(대학로)","서울","종로구","2018"
"혜화아트센터","FC003215","1","민간(대학로)","서울","종로구"," "
"호은아트홀(구 키득키득아트홀)","FC001442","1","민간(대학로)","서울","종로구","2013"
"홍익대 대학로 아트센터","FC001208","2","민간(대학로)","서울","종로구","2013"
"홍해성 소극장","FC003468","1","민간(대학로)","서울","종로구"," "
"효천아트센터 그라운드씬","FC001600","1","민간(대학로)","서울","종로구","2010"
"후암스테이지","FC002777","2","민간(대학로)","서울","종로구"," "
"후암스튜디오(후암아트홀)","FC002781","1","민간(대학로)","서울","종로구"," "
"후암씨어터(콘텐츠룸)","FC002782","1","민간(대학로)","서울","종로구"," "
